34032.79 0.1 2 0 0 0 3 e  2 0 0 0 2 e  82KiMi.33

15. component
4001.24 0.008 0 2 2 2 0 e  0 2 0 2 0 e  76FaVa.74

16. component
3999.13833 0.008 0 2 2 2 30 e  0 2 0 2 30 e  76FaVa.75

17. component
3045.93529 0.011 0 4 1 0 50 e  0 2 0 0 50 e  76FaVa.82

14. component
4504.589861 0.007 3 0 1 0 54 e  0 0 0 0 54 e  76FaVa.59
4501.629516 0.008 3 0 1 0 54 e  0 0 0 0 54 e  76FaVa.60

19. component
829.233379 0.007 1 1 0 1 63 f  0 1 0 1 63 f  80BlDeWa.5

20. component
2011.799641 0.008 0 1 1 1 78 f  0 1 0 1 78 f  76FaVa.98

21. component
2009.476535 0.008 0 1 1 1 90 f  0 1 0 1 90 f  76FaVa.99

13. component
3044.775821 0.013 0 2 1 0 90 e  0 0 0 0 90 e  76FaVa.25

23. component
829.182169 0.063 1 1 0 1 63 e  0 1 0 1 63 e  80BlDeWa.10

9. component
833.224643 0.000233 1 0 0 0 93 e  0 0 0 0 93 e  81WePeMa.5

8. component
833.920316 0.000133 1 0 0 0 86 e  0 0 0 0 86 e  81WePeMa.4

26. component
308671.306 0.022 0 1 0 1 27 f  0 1 0 1 26 f  81BuVaKa.28

27. component
125144 0.08 1 0 0 0 11 e  1 0 0 0 10 e  81BuVaKa.37
125144.13 0.08 1 0 0 0 11 e  1 0 0 0 10 e  73MaJo.20

28. component
363922 0.068 1 0 0 0 32 e  1 0 0 0 31 e  81BuVaKa.38

29. component
125898.9 0.013 0 2 0 0 11 e  0 2 0 0 10 e  81BuVaKa.41
125898.9 0.13 0 2 0 0 11 e  0 2 0 0 10 e  73MaJo.18

30. component
366138.71 0.016 0 2 0 0 32 e  0 2 0 0 31 e  81BuVaKa.42

31. component
34350.073 0.025 0 2 0 2 3 e  0 2 0 2 2 e  81BuVaKa.43
34350.073 0.03 0 2 0 2 3 e  0 2 0 2 2 e  73MaJo.16
34350.073 0.1 0 2 0 2 3 e  0 2 0 2 2 e  82KiMi.27

32. component
125943.69 0.04 0 2 0 2 11 e  0 2 0 2 10 e  81BuVaKa.44
125943.69 0.04 0 2 0 2 11 e  0 2 0 2 10 e  73MaJo.19

33. component
366224.93 0.016 0 2 0 2 32 e  0 2 0 2 31 e  81BuVaKa.45

34. component
34350.073 0.025 0 2 0 2 3 f  0 2 0 2 2 f  81BuVaKa.46
34350.073 0.03 0 2 0 2 3 f  0 2 0 2 2 f  73MaJo.45

35. component
125944.57 0.03 0 2 0 2 11 f  0 2 0 2 10 f  81BuVaKa.47
125944.57 0.03 0 2 0 2 11 f  0 2 0 2 10 f  73MaJo.46

36. component
366248.7 0.016 0 2 0 2 32 f  0 2 0 2 31 f  81BuVaKa.48

37. component
1070.59 0.07 0 3 0 1 69 e  0 1 0 1 68 e  80La.1

38. component
1071.48 0.07 0 3 0 1 69 f  0 1 0 1 68 f  80La.2

7. component
835.222521 0.0001 1 0 0 0 71 e  0 0 0 0 71 e  81WePeMa.3

2. component
2015.002908 0.0000334 0 2 1 2 9 e  0 2 0 2 8 e  92MaLaFa.07

41. component
8369.97 0.07 0 1 0 1 38 f  0 1 0 1 38 e  73MaJo.1

42. component
9261.36 0.07 0 1 0 1 40 f  0 1 0 1 40 e  73MaJo.3

43. component
11686.59 0.1 0 1 0 1 45 f  0 1 0 1 45 e  73MaJo.6

44. component
12735.24 0.07 0 1 0 1 47 f  0 1 0 1 47 e  73MaJo.7

45. component
13276.41 0.07 0 1 0 1 48 f  0 1 0 1 48 e  73MaJo.8

46. component
34268.13 0.1 1 2 0 2 3 e  1 2 0 2 2 e  73MaJo.25
34268.13 0.1 1 2 0 2 3 e  1 2 0 2 2 e  82KiMi.34

47. component
57394.41 0.08 0 4 0 2 5 e  0 4 0 2 4 e  73MaJo.26

48. component
57447.96 0.1 0 4 0 4 5 e  0 4 0 4 4 e  73MaJo.27

49. component
126380.09 0.2 0 4 0 4 11 e  0 4 0 4 10 e  73MaJo.28

50. component
125642.41 0.15 1 2 0 2 11 e  1 2 0 2 10 e  73MaJo.29

51. component
57349.313 0.03 0 3 0 3 5 e  0 3 0 3 4 e  73MaJo.43

52. component
126162.98 0.07 0 3 0 3 11 e  0 3 0 3 10 e  73MaJo.44

53. component
34268.13 0.1 1 2 0 2 3 f  1 2 0 2 2 f  73MaJo.47

54. component
125643.55 0.15 1 2 0 2 11 f  1 2 0 2 10 f  73MaJo.48

55. component
57394.71 0.08 0 4 0 2 5 f  0 4 0 2 4 f  73MaJo.49

